ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
1,Mobile - Android,Cancelled,,226092,700114,2022-Apr-01 00:01:00,,,,,,,,2022-Apr-01 10:30:00,2022-Apr-01 02:24:00,1233.93,PREPAID
2,Mobile - Android,Delivered,D,231656,560100,2022-Apr-01 00:06:00,2022-Apr-01 07:20:00,2022-Apr-01 07:21:00,2022-Apr-01 07:24:00,2022-Apr-01 07:25:00,2022-Apr-01 07:56:00,2022-Apr-01 08:04:00,2022-Apr-01 08:07:00,2022-Apr-01 10:30:00,,431.25,PREPAID
3,Mobile - Android,Delivered,O,222246,302017,2022-Apr-01 00:07:00,2022-Apr-01 00:09:00,2022-Apr-01 07:01:00,2022-Apr-01 07:08:00,2022-Apr-01 07:16:00,2022-Apr-01 07:18:00,2022-Apr-01 08:30:00,2022-Apr-01 08:34:00,2022-Apr-01 10:30:00,,935.22,PREPAID
4,Mobile - Android,Out for Delivery,O,222474,110019,2022-Apr-01 00:07:00,2022-Apr-01 00:09:00,2022-Apr-01 06:03:00,2022-Apr-01 07:12:00,2022-Apr-01 07:48:00,2022-Apr-01 07:53:00,,,2022-Apr-01 09:30:00,,1014.9,PREPAID
5,Mobile - Android,Delivered,O,226076,700056,2022-Apr-01 00:07:00,2022-Apr-01 07:21:00,2022-Apr-01 07:23:00,2022-Apr-01 07:27:00,2022-Apr-01 07:27:00,2022-Apr-01 08:05:00,2022-Apr-01 08:24:00,2022-Apr-01 08:25:00,2022-Apr-01 10:30:00,,405.55,PREPAID
6,Mobile - Android,Arrived,O,222124,201009,2022-Apr-01 00:08:00,2022-Apr-01 00:09:00,2022-Apr-01 00:10:00,2022-Apr-01 00:11:00,2022-Apr-01 06:37:00,2022-Apr-01 07:08:00,2022-Apr-01 08:02:00,,2022-Apr-01 09:30:00,,724.5,PREPAID
7,Mobile - Android,Cancelled,,226064,700157,2022-Apr-01 00:09:00,,,,,,,,2022-Apr-01 11:00:00,2022-Apr-01 02:32:00,1049.4,PREPAID
8,Mobile - iOS,Delivered,O,222124,201307,2022-Apr-01 00:10:00,2022-Apr-01 00:11:00,2022-Apr-01 00:12:00,2022-Apr-01 00:13:00,2022-Apr-01 06:38:00,2022-Apr-01 07:07:00,2022-Apr-01 08:22:00,2022-Apr-01 08:24:00,2022-Apr-01 09:30:00,,730.25,PREPAID
9,Mobile - Android,Delivered,O,222124,201009,2022-Apr-01 00:14:00,2022-Apr-01 00:17:00,2022-Apr-01 00:19:00,2022-Apr-01 00:20:00,2022-Apr-01 06:44:00,2022-Apr-01 06:52:00,2022-Apr-01 07:11:00,2022-Apr-01 07:12:00,2022-Apr-01 09:30:00,,434.8,PREPAID
10,Mobile - Android,Delivered,O,231296,500018,2022-Apr-01 00:14:00,2022-Apr-01 07:25:00,2022-Apr-01 07:26:00,2022-Apr-01 07:33:00,2022-Apr-01 07:34:00,2022-Apr-01 07:38:00,2022-Apr-01 08:06:00,2022-Apr-01 08:08:00,2022-Apr-01 10:30:00,,416.89,PREPAID
11,Desktop - Website,Delivered,O,222474,110016,2022-Apr-01 00:18:00,2022-Apr-01 00:20:00,2022-Apr-01 06:03:00,2022-Apr-01 06:15:00,2022-Apr-01 07:28:00,2022-Apr-01 07:40:00,2022-Apr-01 09:17:00,2022-Apr-01 09:20:00,2022-Apr-01 09:30:00,,965.64,PREPAID
12,Mobile - Android,Delivered,O,224078,400068,2022-Apr-01 00:18:00,2022-Apr-01 08:00:00,2022-Apr-01 08:02:00,2022-Apr-01 08:07:00,2022-Apr-01 08:07:00,2022-Apr-01 09:11:00,2022-Apr-01 10:20:00,2022-Apr-01 10:21:00,2022-Apr-01 10:30:00,,678.91,PREPAID
13,Mobile - Android,Delivered,O,226802,711106,2022-Apr-01 00:20:00,2022-Apr-01 07:21:00,2022-Apr-01 07:23:00,2022-Apr-01 07:33:00,2022-Apr-01 07:34:00,2022-Apr-01 08:02:00,2022-Apr-01 09:25:00,2022-Apr-01 09:29:00,2022-Apr-01 10:30:00,,943.88,COD
14,Desktop - Website,Delivered,O,234130,500032,2022-Apr-01 00:20:00,2022-Apr-01 07:20:00,2022-Apr-01 07:21:00,2022-Apr-01 07:33:00,2022-Apr-01 08:52:00,2022-Apr-01 08:52:00,2022-Apr-01 09:10:00,2022-Apr-01 09:11:00,2022-Apr-01 10:30:00,,1085.92,PREPAID
15,Mobile - mWeb,Cancelled,K,223008,201304,2022-Apr-01 00:21:00,2022-Apr-01 09:41:00,2022-Apr-01 09:43:00,2022-Apr-01 09:53:00,2022-Apr-01 09:54:00,,,,2022-Apr-01 12:00:00,2022-Apr-01 11:30:00,1434.93,COD
16,Mobile - iOS,Delivered,O,223156,302021,2022-Apr-01 00:22:00,2022-Apr-01 00:23:00,2022-Apr-01 07:02:00,2022-Apr-01 07:17:00,2022-Apr-01 07:20:00,2022-Apr-01 07:20:00,2022-Apr-01 09:36:00,2022-Apr-01 09:37:00,2022-Apr-01 10:30:00,,589.7,COD
17,Mobile - Android,Out for Delivery,D,231296,500011,2022-Apr-01 00:22:00,2022-Apr-01 08:32:00,2022-Apr-01 08:35:00,2022-Apr-01 08:37:00,2022-Apr-01 08:38:00,2022-Apr-01 08:46:00,,,2022-Apr-01 11:00:00,,380.2,PREPAID
18,Mobile - Android,Delivered,K,226618,700039,2022-Apr-01 00:23:00,2022-Apr-01 07:16:00,2022-Apr-01 07:19:00,2022-Apr-01 07:22:00,2022-Apr-01 08:09:00,2022-Apr-01 08:22:00,2022-Apr-01 08:47:00,2022-Apr-01 08:51:00,2022-Apr-01 10:30:00,,672.6,PREPAID
19,Mobile - Android,Delivered,O,226082,700054,2022-Apr-01 00:26:00,2022-Apr-01 16:13:00,2022-Apr-01 16:16:00,2022-Apr-01 16:22:00,2022-Apr-01 16:39:00,2022-Apr-01 17:15:00,2022-Apr-01 17:27:00,2022-Apr-01 17:31:00,2022-Apr-01 18:30:00,,1305,COD
20,Mobile - Android,Delivered,O,227246,700059,2022-Apr-01 00:27:00,2022-Apr-01 07:13:00,2022-Apr-01 07:30:00,2022-Apr-01 07:55:00,2022-Apr-01 07:56:00,2022-Apr-01 07:57:00,2022-Apr-01 08:20:00,2022-Apr-01 08:23:00,2022-Apr-01 10:30:00,,747.31,COD
21,Mobile - iOS,Delivered,D,230544,560032,2022-Apr-01 00:31:00,2022-Apr-01 08:31:00,2022-Apr-01 08:31:00,2022-Apr-01 08:33:00,2022-Apr-01 08:34:00,2022-Apr-01 08:46:00,2022-Apr-01 09:00:00,2022-Apr-01 09:04:00,2022-Apr-01 11:00:00,,727.2,PREPAID
22,Mobile - iOS,Delivered,K,226598,700039,2022-Apr-01 00:34:00,2022-Apr-01 07:07:00,2022-Apr-01 07:16:00,2022-Apr-01 07:32:00,2022-Apr-01 07:33:00,2022-Apr-01 07:40:00,2022-Apr-01 08:19:00,2022-Apr-01 08:22:00,2022-Apr-01 10:30:00,,839.22,COD
23,Mobile - iOS,Delivered,D,226598,700039,2022-Apr-01 00:34:00,2022-Apr-01 08:41:00,2022-Apr-01 08:45:00,2022-Apr-01 08:55:00,2022-Apr-01 08:57:00,2022-Apr-01 09:04:00,2022-Apr-01 09:24:00,2022-Apr-01 09:25:00,2022-Apr-01 11:00:00,,315.45,COD
24,Mobile - Android,Delivered,D,226618,700029,2022-Apr-01 00:34:00,2022-Apr-01 08:42:00,2022-Apr-01 08:45:00,2022-Apr-01 08:47:00,2022-Apr-01 08:50:00,2022-Apr-01 09:17:00,2022-Apr-01 09:36:00,2022-Apr-01 09:37:00,2022-Apr-01 11:00:00,,319.8,PREPAID
25,Mobile - Android,Verified,,227246,700157,2022-Apr-01 00:52:00,2022-Apr-01 09:25:00,,,,,,,2022-Apr-01 11:30:00,,305.4,PREPAID
26,Mobile - iOS,Delivered,O,228036,500007,2022-Apr-01 00:54:00,2022-Apr-01 07:31:00,2022-Apr-01 10:06:00,2022-Apr-01 10:25:00,2022-Apr-01 10:36:00,2022-Apr-01 10:44:00,2022-Apr-01 10:55:00,2022-Apr-01 10:55:00,2022-Apr-01 13:30:00,,746.52,PREPAID
27,Mobile - Android,Cancelled,O,226528,700052,2022-Apr-01 00:59:00,2022-Apr-01 07:25:00,2022-Apr-01 07:27:00,2022-Apr-01 07:36:00,2022-Apr-01 07:38:00,2022-Apr-01 07:50:00,,,2022-Apr-01 10:30:00,2022-Apr-01 08:41:00,806.02,PREPAID
28,Mobile - Android,Delivered,K,234138,500090,2022-Apr-01 01:00:00,2022-Apr-01 08:57:00,2022-Apr-01 08:59:00,2022-Apr-01 08:59:00,2022-Apr-01 09:01:00,2022-Apr-01 09:21:00,2022-Apr-01 09:46:00,2022-Apr-01 09:50:00,2022-Apr-01 11:00:00,,617.02,PREPAID
29,Mobile - Android,Delivered,O,234138,500090,2022-Apr-01 01:00:00,2022-Apr-01 07:41:00,2022-Apr-01 07:43:00,2022-Apr-01 07:45:00,2022-Apr-01 07:51:00,2022-Apr-01 07:51:00,2022-Apr-01 08:16:00,2022-Apr-01 08:17:00,2022-Apr-01 10:30:00,,488.56,PREPAID
30,Mobile - iOS,Out for Delivery,O,222474,110030,2022-Apr-01 01:09:00,2022-Apr-01 01:10:00,2022-Apr-01 06:04:00,2022-Apr-01 06:44:00,2022-Apr-01 07:36:00,2022-Apr-01 07:40:00,,,2022-Apr-01 09:30:00,,705,PREPAID
31,Mobile - Android,Out for Delivery,O,226010,700050,2022-Apr-01 01:10:00,2022-Apr-01 09:22:00,2022-Apr-01 09:24:00,2022-Apr-01 10:01:00,2022-Apr-01 10:14:00,2022-Apr-01 10:14:00,,,2022-Apr-01 11:30:00,,1062.96,COD
32,Mobile - Android,Delivered,K,226068,700075,2022-Apr-01 01:14:00,2022-Apr-01 10:13:00,2022-Apr-01 10:15:00,2022-Apr-01 10:32:00,2022-Apr-01 10:34:00,2022-Apr-01 10:37:00,2022-Apr-01 11:17:00,2022-Apr-01 11:20:00,2022-Apr-01 12:30:00,,843.94,PREPAID
33,Mobile - iOS,Delivered,O,222124,201306,2022-Apr-01 01:15:00,2022-Apr-01 01:16:00,2022-Apr-01 01:17:00,2022-Apr-01 01:51:00,2022-Apr-01 06:33:00,2022-Apr-01 07:07:00,2022-Apr-01 07:42:00,2022-Apr-01 07:43:00,2022-Apr-01 09:30:00,,373.29,PREPAID
34,Mobile - Android,Delivered,O,222124,201307,2022-Apr-01 01:21:00,2022-Apr-01 01:22:00,2022-Apr-01 01:23:00,2022-Apr-01 01:51:00,2022-Apr-01 06:52:00,2022-Apr-01 07:06:00,2022-Apr-01 07:34:00,2022-Apr-01 07:34:00,2022-Apr-01 09:30:00,,742,PREPAID
35,Mobile - Android,Delivered,O,222124,201014,2022-Apr-01 01:28:00,2022-Apr-01 01:29:00,2022-Apr-01 01:30:00,2022-Apr-01 01:52:00,2022-Apr-01 06:45:00,2022-Apr-01 06:53:00,2022-Apr-01 07:57:00,2022-Apr-01 08:00:00,2022-Apr-01 09:30:00,,780,PREPAID
36,Mobile - Android,Delivered,O,224408,400050,2022-Apr-01 01:33:00,2022-Apr-01 01:34:00,2022-Apr-01 07:27:00,2022-Apr-01 07:44:00,2022-Apr-01 08:02:00,2022-Apr-01 10:10:00,2022-Apr-01 10:10:00,2022-Apr-01 10:10:00,2022-Apr-01 10:30:00,,896,PREPAID
37,Mobile - Android,Delivered,K,226076,712258,2022-Apr-01 01:36:00,2022-Apr-01 01:39:00,2022-Apr-01 07:13:00,2022-Apr-01 07:18:00,2022-Apr-01 08:06:00,2022-Apr-01 08:14:00,2022-Apr-01 10:14:00,2022-Apr-01 10:16:00,2022-Apr-01 12:00:00,,1399,PREPAID
38,Mobile - Android,Delivered,O,222760,382345,2022-Apr-01 01:48:00,2022-Apr-01 01:51:00,2022-Apr-01 07:21:00,2022-Apr-01 07:28:00,2022-Apr-01 07:28:00,2022-Apr-01 08:30:00,2022-Apr-01 09:00:00,2022-Apr-01 09:03:00,2022-Apr-01 10:30:00,,1310.62,PREPAID
39,Mobile - mWeb,Billed,,224076,400068,2022-Apr-01 01:55:00,2022-Apr-01 07:55:00,2022-Apr-01 07:59:00,2022-Apr-01 08:45:00,,,,,2022-Apr-01 12:00:00,,475.3,COD
40,Mobile - iOS,Verified,,226178,700035,2022-Apr-01 01:55:00,2022-Apr-01 01:58:00,,,,,,,2022-Apr-01 12:00:00,,1049,PREPAID
41,Mobile - mWeb,Delivered,O,222124,201009,2022-Apr-01 01:57:00,2022-Apr-01 01:59:00,2022-Apr-01 02:01:00,2022-Apr-01 02:02:00,2022-Apr-01 06:30:00,2022-Apr-01 06:56:00,2022-Apr-01 08:02:00,2022-Apr-01 08:03:00,2022-Apr-01 09:30:00,,724.5,PREPAID
42,Mobile - Android,Delivered,O,226010,700059,2022-Apr-01 02:02:00,2022-Apr-01 02:05:00,2022-Apr-01 07:12:00,2022-Apr-01 07:42:00,2022-Apr-01 07:47:00,2022-Apr-01 08:57:00,2022-Apr-01 11:57:00,2022-Apr-01 11:59:00,2022-Apr-01 12:00:00,,699.5,PREPAID
43,Mobile - Android,Delivered,D,232670,500007,2022-Apr-01 02:33:00,2022-Apr-01 10:22:00,2022-Apr-01 10:25:00,2022-Apr-01 10:25:00,2022-Apr-01 10:27:00,2022-Apr-01 10:37:00,2022-Apr-01 10:50:00,2022-Apr-01 10:54:00,2022-Apr-01 12:30:00,,797.12,PREPAID
44,Mobile - Android,Delivered,O,222474,110019,2022-Apr-01 03:08:00,2022-Apr-01 03:09:00,2022-Apr-01 06:04:00,2022-Apr-01 09:02:00,2022-Apr-01 09:15:00,2022-Apr-01 09:37:00,2022-Apr-01 09:38:00,2022-Apr-01 09:41:00,2022-Apr-01 23:00:00,,1213.07,PREPAID
45,Mobile - mWeb,Delivered,K,222124,201307,2022-Apr-01 03:11:00,2022-Apr-01 03:12:00,2022-Apr-01 03:13:00,2022-Apr-01 03:35:00,2022-Apr-01 06:51:00,2022-Apr-01 07:05:00,2022-Apr-01 09:21:00,2022-Apr-01 09:21:00,2022-Apr-01 09:30:00,,657.5,COD
46,Mobile - Android,Delivered,D,234130,500019,2022-Apr-01 03:52:00,2022-Apr-01 10:36:00,2022-Apr-01 10:37:00,2022-Apr-01 10:48:00,2022-Apr-01 10:50:00,2022-Apr-01 11:03:00,2022-Apr-01 11:13:00,2022-Apr-01 11:13:00,2022-Apr-01 13:00:00,,831,PREPAID
47,Mobile - iOS,Delivered,K,222124,201009,2022-Apr-01 03:58:00,2022-Apr-01 06:46:00,2022-Apr-01 06:48:00,2022-Apr-01 06:52:00,2022-Apr-01 09:05:00,2022-Apr-01 09:06:00,2022-Apr-01 10:55:00,2022-Apr-01 10:57:00,2022-Apr-01 10:30:00,,483.94,COD
48,Desktop - Website,Cancelled,,222474,110048,2022-Apr-01 04:11:00,,,,,,,,2022-Apr-01 09:30:00,2022-Apr-01 06:35:00,401.35,COD
49,Mobile - iOS,Delivered,O,222124,201303,2022-Apr-01 04:38:00,2022-Apr-01 04:39:00,2022-Apr-01 04:40:00,2022-Apr-01 04:41:00,2022-Apr-01 06:46:00,2022-Apr-01 07:03:00,2022-Apr-01 07:57:00,2022-Apr-01 08:01:00,2022-Apr-01 09:30:00,,330,PREPAID
50,Mobile - iOS,Delivered,O,222474,110068,2022-Apr-01 04:43:00,2022-Apr-01 04:45:00,2022-Apr-01 06:04:00,2022-Apr-01 06:24:00,2022-Apr-01 07:35:00,2022-Apr-01 07:39:00,2022-Apr-01 09:14:00,2022-Apr-01 09:17:00,2022-Apr-01 09:30:00,,305,PREPAID
51,Mobile - Android,Verified,,226798,700030,2022-Apr-01 05:38:00,2022-Apr-01 07:35:00,,,,,,,2022-Apr-01 10:30:00,,974.44,PREPAID
52,Mobile - Android,Delivered,D,226016,700103,2022-Apr-01 06:01:00,2022-Apr-01 10:47:00,2022-Apr-01 10:49:00,2022-Apr-01 11:04:00,2022-Apr-01 11:06:00,2022-Apr-01 11:13:00,2022-Apr-01 11:20:00,2022-Apr-01 11:22:00,2022-Apr-01 13:00:00,,340.5,PREPAID
53,Mobile - Android,Delivered,O,222474,110076,2022-Apr-01 06:21:00,2022-Apr-01 06:22:00,2022-Apr-01 06:24:00,2022-Apr-01 07:25:00,2022-Apr-01 07:33:00,2022-Apr-01 07:43:00,2022-Apr-01 08:56:00,2022-Apr-01 08:59:00,2022-Apr-01 10:30:00,,398,PREPAID
54,Mobile - Android,Delivered,K,231938,560067,2022-Apr-01 06:27:00,2022-Apr-01 10:58:00,2022-Apr-01 11:00:00,2022-Apr-01 11:04:00,2022-Apr-01 11:06:00,2022-Apr-01 11:12:00,2022-Apr-01 11:27:00,2022-Apr-01 11:31:00,2022-Apr-01 13:00:00,,354.68,PREPAID
55,Mobile - mWeb,Delivered,D,231942,560087,2022-Apr-01 06:30:00,2022-Apr-01 16:17:00,2022-Apr-01 16:20:00,2022-Apr-01 16:27:00,2022-Apr-01 16:29:00,2022-Apr-01 16:37:00,2022-Apr-01 17:07:00,2022-Apr-01 17:08:00,2022-Apr-01 18:30:00,,593.84,PREPAID
56,Mobile - Android,Delivered,K,226016,700084,2022-Apr-01 06:48:00,2022-Apr-01 10:18:00,2022-Apr-01 10:20:00,2022-Apr-01 10:36:00,2022-Apr-01 10:38:00,2022-Apr-01 10:49:00,2022-Apr-01 10:59:00,2022-Apr-01 11:02:00,2022-Apr-01 12:30:00,,698.99,COD
57,Mobile - Android,Delivered,O,222190,302021,2022-Apr-01 06:59:00,2022-Apr-01 07:00:00,2022-Apr-01 07:04:00,2022-Apr-01 07:12:00,2022-Apr-01 07:18:00,2022-Apr-01 07:18:00,2022-Apr-01 07:52:00,2022-Apr-01 07:54:00,2022-Apr-01 10:30:00,,1040,PREPAID
58,Mobile - Android,Delivered,D,226180,700094,2022-Apr-01 07:00:00,2022-Apr-01 14:38:00,2022-Apr-01 14:51:00,2022-Apr-01 14:52:00,2022-Apr-01 14:54:00,2022-Apr-01 14:57:00,2022-Apr-01 15:08:00,2022-Apr-01 15:11:00,2022-Apr-01 17:00:00,,397.88,COD
59,Mobile - Android,Delivered,O,226762,700030,2022-Apr-01 07:00:00,2022-Apr-01 07:02:00,2022-Apr-01 07:16:00,2022-Apr-01 07:28:00,2022-Apr-01 07:39:00,2022-Apr-01 07:39:00,2022-Apr-01 07:46:00,2022-Apr-01 07:46:00,2022-Apr-01 10:30:00,,1325.51,PREPAID
60,Mobile - Android,Billed,,232788,560067,2022-Apr-01 07:02:00,2022-Apr-01 07:03:00,2022-Apr-01 07:05:00,2022-Apr-01 07:10:00,,,,,2022-Apr-01 10:30:00,,317.78,PREPAID
61,Mobile - Android,Delivered,O,222212,302012,2022-Apr-01 07:05:00,2022-Apr-01 13:21:00,2022-Apr-01 13:22:00,2022-Apr-01 13:24:00,2022-Apr-01 13:26:00,2022-Apr-01 13:26:00,2022-Apr-01 13:46:00,2022-Apr-01 13:49:00,2022-Apr-01 15:30:00,,472.98,PREPAID
62,Mobile - iOS,Out for Delivery,O,232596,600097,2022-Apr-01 07:05:00,2022-Apr-01 07:06:00,2022-Apr-01 14:38:00,2022-Apr-01 14:43:00,2022-Apr-01 14:48:00,2022-Apr-01 14:50:00,,,2022-Apr-02 10:30:00,,729,PREPAID
63,Mobile - iOS,Delivered,K,228118,500072,2022-Apr-01 07:06:00,2022-Apr-01 10:49:00,2022-Apr-01 10:51:00,2022-Apr-01 10:52:00,2022-Apr-01 10:54:00,2022-Apr-01 10:59:00,2022-Apr-01 11:20:00,2022-Apr-01 11:23:00,2022-Apr-01 13:00:00,,657.26,COD
64,Mobile - Android,Arrived,D,231588,500085,2022-Apr-01 07:09:00,2022-Apr-01 13:14:00,2022-Apr-01 13:17:00,2022-Apr-01 13:17:00,2022-Apr-01 13:28:00,2022-Apr-01 13:43:00,2022-Apr-01 13:58:00,,2022-Apr-01 15:30:00,,460.61,PREPAID
65,Mobile - Android,Delivered,O,226036,700048,2022-Apr-01 07:09:00,2022-Apr-01 07:11:00,2022-Apr-01 07:13:00,2022-Apr-01 07:21:00,2022-Apr-01 08:06:00,2022-Apr-01 08:19:00,2022-Apr-01 08:28:00,2022-Apr-01 08:29:00,2022-Apr-01 10:30:00,,1040.29,PREPAID
66,Mobile - Android,Delivered,O,226284,700019,2022-Apr-01 07:10:00,2022-Apr-01 07:13:00,2022-Apr-01 08:55:00,2022-Apr-01 09:02:00,2022-Apr-01 09:03:00,2022-Apr-01 09:33:00,2022-Apr-01 10:15:00,2022-Apr-01 10:16:00,2022-Apr-01 12:00:00,,1373.7,PREPAID
67,Mobile - Android,Delivered,D,226098,700106,2022-Apr-01 07:10:00,2022-Apr-01 10:47:00,2022-Apr-01 10:49:00,2022-Apr-01 10:50:00,2022-Apr-01 10:52:00,2022-Apr-01 11:17:00,2022-Apr-01 11:26:00,2022-Apr-01 11:26:00,2022-Apr-01 13:00:00,,528.52,PREPAID
68,Mobile - Android,Assigned,O,222110,122002,2022-Apr-01 07:11:00,2022-Apr-01 07:12:00,2022-Apr-01 07:13:00,2022-Apr-01 07:25:00,2022-Apr-01 08:34:00,,,,2022-Apr-01 10:30:00,,500,PREPAID
69,Mobile - mWeb,Cancelled,,382186,500038,2022-Apr-01 07:11:00,,,,,,,,2022-Apr-01 13:00:00,2022-Apr-01 09:34:00,441,PREPAID
70,Mobile - Android,Delivered,O,382376,500090,2022-Apr-01 07:13:00,2022-Apr-01 07:16:00,2022-Apr-01 07:16:00,2022-Apr-01 07:29:00,2022-Apr-01 07:30:00,2022-Apr-01 07:37:00,2022-Apr-01 08:28:00,2022-Apr-01 08:31:00,2022-Apr-01 10:30:00,,874.5,PREPAID
71,Mobile - Android,Delivered,O,233376,600041,2022-Apr-01 07:16:00,2022-Apr-01 07:18:00,2022-Apr-01 07:24:00,2022-Apr-01 07:25:00,2022-Apr-01 07:34:00,2022-Apr-01 07:58:00,2022-Apr-01 08:16:00,2022-Apr-01 08:18:00,2022-Apr-01 10:30:00,,1006.35,PREPAID
72,Mobile - Android,Delivered,O,231042,600094,2022-Apr-01 07:17:00,2022-Apr-01 08:49:00,2022-Apr-01 08:52:00,2022-Apr-01 08:54:00,2022-Apr-01 09:12:00,2022-Apr-01 09:18:00,2022-Apr-01 09:32:00,2022-Apr-01 09:33:00,2022-Apr-01 11:00:00,,1132.15,COD
73,Mobile - Android,Delivered,K,226180,700094,2022-Apr-01 07:18:00,2022-Apr-01 07:19:00,2022-Apr-01 07:41:00,2022-Apr-01 07:42:00,2022-Apr-01 07:43:00,2022-Apr-01 07:58:00,2022-Apr-01 08:53:00,2022-Apr-01 08:55:00,2022-Apr-01 10:30:00,,1247.4,PREPAID
74,Mobile - mWeb,Delivered,O,224128,400049,2022-Apr-01 07:18:00,2022-Apr-01 07:20:00,2022-Apr-01 07:30:00,2022-Apr-01 07:41:00,2022-Apr-01 08:04:00,2022-Apr-01 10:22:00,2022-Apr-01 10:23:00,2022-Apr-01 10:26:00,2022-Apr-01 10:30:00,,321.22,PREPAID
75,Mobile - Android,Delivered,O,224070,401107,2022-Apr-01 07:19:00,2022-Apr-01 07:23:00,2022-Apr-01 07:30:00,2022-Apr-01 07:35:00,2022-Apr-01 08:32:00,2022-Apr-01 08:32:00,2022-Apr-01 09:54:00,2022-Apr-01 09:57:00,2022-Apr-01 10:30:00,,409,PREPAID
76,Mobile - Android,Delivered,K,231892,500089,2022-Apr-01 07:21:00,2022-Apr-01 07:22:00,2022-Apr-01 07:23:00,2022-Apr-01 07:25:00,2022-Apr-01 07:25:00,2022-Apr-01 07:35:00,2022-Apr-01 07:46:00,2022-Apr-01 07:50:00,2022-Apr-01 10:30:00,,488.1,PREPAID
77,Mobile - Android,Delivered,O,226238,700046,2022-Apr-01 07:21:00,2022-Apr-01 07:22:00,2022-Apr-01 07:25:00,2022-Apr-01 07:35:00,2022-Apr-01 07:53:00,2022-Apr-01 07:53:00,2022-Apr-01 08:04:00,2022-Apr-01 08:08:00,2022-Apr-01 10:30:00,,505,PREPAID
78,Mobile - mWeb,Delivered,D,226392,700098,2022-Apr-01 07:24:00,2022-Apr-01 13:19:00,2022-Apr-01 13:39:00,2022-Apr-01 14:24:00,2022-Apr-01 14:26:00,2022-Apr-01 14:42:00,2022-Apr-01 14:56:00,2022-Apr-01 15:00:00,2022-Apr-01 15:30:00,,830.05,PREPAID
79,Mobile - Android,Delivered,K,222232,302015,2022-Apr-01 07:25:00,2022-Apr-01 07:25:00,2022-Apr-01 07:25:00,2022-Apr-01 16:30:00,2022-Apr-01 16:36:00,2022-Apr-01 17:09:00,2022-Apr-02 13:16:00,2022-Apr-02 13:19:00,2022-Apr-02 22:00:00,,388.8,COD
80,Mobile - Android,Out for Delivery,O,226392,700156,2022-Apr-01 07:25:00,2022-Apr-01 07:26:00,2022-Apr-01 07:27:00,2022-Apr-01 07:42:00,2022-Apr-01 07:52:00,2022-Apr-01 07:53:00,,,2022-Apr-01 10:30:00,,839.5,COD
81,Mobile - mWeb,Delivered,O,222010,110018,2022-Apr-01 07:26:00,2022-Apr-01 07:29:00,2022-Apr-01 07:37:00,2022-Apr-01 07:51:00,2022-Apr-01 09:07:00,2022-Apr-01 10:13:00,2022-Apr-01 10:30:00,2022-Apr-01 10:32:00,2022-Apr-01 10:30:00,,1148,PREPAID
82,Mobile - iOS,Cancelled,,231938,560037,2022-Apr-01 07:26:00,,,,,,,,2022-Apr-01 13:30:00,2022-Apr-01 09:49:00,357.04,PREPAID
83,Mobile - Android,Delivered,K,228146,500090,2022-Apr-01 07:26:00,2022-Apr-01 07:27:00,2022-Apr-01 07:28:00,2022-Apr-01 07:35:00,2022-Apr-01 07:36:00,2022-Apr-01 07:44:00,2022-Apr-01 07:59:00,2022-Apr-01 07:59:00,2022-Apr-01 10:30:00,,441,COD
84,Mobile - Android,Delivered,O,222100,110043,2022-Apr-01 07:27:00,2022-Apr-01 07:31:00,2022-Apr-01 07:33:00,2022-Apr-01 07:35:00,2022-Apr-01 07:36:00,2022-Apr-01 08:52:00,2022-Apr-01 09:49:00,2022-Apr-01 09:51:00,2022-Apr-01 10:30:00,,804.5,PREPAID
85,Mobile - mWeb,Delivered,O,226466,700094,2022-Apr-01 07:28:00,2022-Apr-01 07:31:00,2022-Apr-01 07:34:00,2022-Apr-01 07:48:00,2022-Apr-01 07:48:00,2022-Apr-01 07:58:00,2022-Apr-01 08:22:00,2022-Apr-01 08:23:00,2022-Apr-01 10:30:00,,801,PREPAID
86,Mobile - Android,Store Pushed,,228130,500026,2022-Apr-01 07:29:00,2022-Apr-01 07:31:00,2022-Apr-01 07:32:00,,,,,,2022-Apr-01 10:30:00,,364,PREPAID
87,Mobile - Android,Out for Delivery,O,226284,700053,2022-Apr-01 07:32:00,2022-Apr-01 07:35:00,2022-Apr-01 08:55:00,2022-Apr-01 09:03:00,2022-Apr-01 10:25:00,2022-Apr-01 10:25:00,,,2022-Apr-01 12:00:00,,432.29,PREPAID
88,Mobile - mWeb,Delivered,O,226068,700107,2022-Apr-01 07:33:00,2022-Apr-01 07:36:00,2022-Apr-01 07:38:00,2022-Apr-01 07:43:00,2022-Apr-01 07:43:00,2022-Apr-01 07:45:00,2022-Apr-01 07:57:00,2022-Apr-01 08:01:00,2022-Apr-01 10:30:00,,378,PREPAID
